88 :4640
114 :2424
90 :8416
94 :8216
97 :7768
11 :3268
12 :2684
13 :2320
120 :4064
1 :4488
122 :2404
2 :3928
5 :3796
6 :3292
128 :3160
9 :2460
23 :3376
24 :5040
29 :2160
31 :3808
36 :8200
38 :6824
41 :5880
42 :2536
55 :3552
56 :4864
57 :3800
63 :2480
66 :2384
67 :5316
70 :2304
71 :5076
79 :4744
100 :3056
104 :3968
24 66 90 97 :2192
24 70 90 97 :2160
24 79 90 97 :2328
100 24 90 97 :2864
29 36 90 97 :2160
29 38 90 97 :2160
31 36 90 97 :3016
31 41 90 97 :2944
31 56 90 97 :2752
31 67 90 97 :2620
31 71 90 97 :2572
36 38 90 97 :6272
36 41 90 97 :5040
36 42 90 97 :2536
36 55 90 97 :2712
36 56 90 97 :4864
36 57 90 97 :3680
36 66 90 97 :2192
36 67 90 97 :4684
36 70 90 97 :2160
36 71 90 97 :4444
36 79 90 97 :4256
100 36 90 97 :2864
104 36 90 97 :3368
38 41 90 97 :4208
38 42 90 97 :2256
38 55 90 97 :2720
38 56 90 97 :3744
38 57 90 97 :3408
38 66 90 97 :2192
38 67 90 97 :4128
38 70 90 97 :2160
38 71 90 97 :3888
38 79 90 97 :2960
104 38 90 97 :3360
41 55 90 97 :2192
41 56 90 97 :3040
41 57 90 97 :3312
41 67 90 97 :3280
41 71 90 97 :3088
41 79 90 97 :2592
104 41 90 97 :2912
56 57 90 97 :2112
56 67 90 97 :3344
56 71 90 97 :3344
56 79 90 97 :2848
100 56 90 97 :2752
104 56 90 97 :2112
57 67 90 97 :2204
57 71 90 97 :2204
104 57 90 97 :2312
67 71 90 97 :3858
67 79 90 97 :3100
104 67 90 97 :3416
71 79 90 97 :2860
104 71 90 97 :3224
104 79 90 97 :2216
11 36 38 90 :3196
11 36 41 90 :2140
11 38 41 90 :2164
120 2 24 90 :2504
120 2 36 90 :2848
120 2 38 90 :2800
120 24 36 90 :2648
120 24 38 90 :2624
120 36 38 90 :3752
120 36 42 90 :2224
120 36 56 90 :2832
120 36 67 90 :2316
120 36 71 90 :2292
120 38 56 90 :2736
120 38 67 90 :2232
120 38 71 90 :2208
1 23 36 90 :2752
1 23 38 90 :2656
1 23 41 90 :2656
1 23 67 90 :2752
1 23 71 90 :2560
1 104 23 90 :2560
1 31 36 90 :3496
1 31 38 90 :2304
1 31 41 90 :3472
1 31 56 90 :2752
1 31 67 90 :2980
1 31 71 90 :2932
1 31 79 90 :2232
1 104 31 90 :2352
1 36 38 90 :2816
1 36 41 90 :3984
1 36 56 90 :2848
1 36 67 90 :3588
1 36 71 90 :3348
1 36 79 90 :3032
1 104 36 90 :2960
1 38 41 90 :2864
1 38 67 90 :2992
1 38 71 90 :2752
1 104 38 90 :2768
1 41 56 90 :2752
1 41 67 90 :3504
1 41 71 90 :3312
1 41 79 90 :2720
1 104 41 90 :2960
1 56 67 90 :2336
1 56 71 90 :2336
1 67 71 90 :3194
1 67 79 90 :2340
1 104 67 90 :2992
1 104 71 90 :2800
122 36 41 90 :2276
2 24 36 90 :3280
2 24 38 90 :3200
2 24 66 90 :2240
2 24 70 90 :2160
2 29 36 90 :2160
2 29 38 90 :2160
2 36 38 90 :3792
2 36 42 90 :2224
2 36 66 90 :2216
2 36 70 90 :2160
2 38 42 90 :2112
2 38 66 90 :2240
2 38 70 90 :2160
24 36 5 90 :2124
36 38 5 90 :2964
36 41 5 90 :2708
36 5 56 90 :2144
36 5 67 90 :2396
36 5 71 90 :2276
36 5 79 90 :2184
38 41 5 90 :2156
36 38 6 90 :2648
36 41 6 90 :2392
36 56 6 90 :2144
128 36 38 90 :2944
128 36 41 90 :2192
128 36 56 90 :2400
128 36 57 90 :2456
128 36 67 90 :2352
128 36 71 90 :2304
128 38 41 90 :2216
128 38 56 90 :2304
128 38 57 90 :2264
128 38 67 90 :2160
128 38 71 90 :2112
128 41 57 90 :2168
128 56 67 90 :2112
128 56 71 90 :2112
128 67 71 90 :2160
36 41 9 90 :2168
23 36 38 90 :3272
23 36 41 90 :3016
23 36 56 90 :2112
23 36 57 90 :2224
23 36 67 90 :3232
23 36 71 90 :3040
23 36 79 90 :2128
104 23 36 90 :3184
23 38 41 90 :3016
23 38 57 90 :2120
23 38 67 90 :3128
23 38 71 90 :2936
104 23 38 90 :3080
23 41 57 90 :2120
23 41 67 90 :2872
23 41 71 90 :2680
104 23 41 90 :2824
23 56 57 90 :2112
104 23 56 90 :2112
104 23 57 90 :2224
23 67 71 90 :2968
104 23 67 90 :3040
104 23 71 90 :2848
24 36 38 90 :3336
24 36 41 90 :2648
24 36 42 90 :2176
24 36 56 90 :2752
24 36 66 90 :2360
24 36 70 90 :2304
24 36 79 90 :2616
100 24 36 90 :2864
24 38 66 90 :2240
24 38 70 90 :2160
100 24 56 90 :2752
29 36 38 90 :2160
31 36 38 90 :2216
31 36 41 90 :3352
31 36 56 90 :2752
31 36 67 90 :2868
31 36 71 90 :2820
31 36 79 90 :2344
104 31 36 90 :2240
31 38 41 90 :2232
31 38 67 90 :2360
31 38 71 90 :2312
104 31 38 90 :2136
31 41 56 90 :2752
31 41 67 90 :2872
31 41 71 90 :2872
104 31 41 90 :2328
31 56 67 90 :2240
31 56 71 90 :2240
31 67 71 90 :2666
104 31 67 90 :2272
104 31 71 90 :2272
36 38 41 90 :4352
36 38 42 90 :2256
36 38 55 90 :2864
36 38 56 90 :3744
36 38 57 90 :3528
36 38 66 90 :2216
36 38 67 90 :4232
36 38 70 90 :2160
36 38 71 90 :3992
36 38 79 90 :3160
104 36 38 90 :3288
36 41 55 90 :2624
36 41 56 90 :3040
36 41 57 90 :3432
36 41 67 90 :3528
36 41 71 90 :3336
36 41 79 90 :3080
104 36 41 90 :3128
36 56 57 90 :2112
36 56 67 90 :3344
36 56 71 90 :3344
36 56 79 90 :2848
100 36 56 90 :2752
104 36 56 90 :2112
36 57 67 90 :2308
36 57 71 90 :2308
104 36 57 90 :2432
36 67 71 90 :4034
36 67 79 90 :3444
104 36 67 90 :3472
36 71 79 90 :3204
104 36 71 90 :3280
104 36 79 90 :2608
38 41 55 90 :2552
38 41 57 90 :3432
38 41 67 90 :3064
38 41 71 90 :2872
104 38 41 90 :3032
38 56 67 90 :2736
38 56 71 90 :2736
104 38 57 90 :2232
38 67 71 90 :3680
38 67 79 90 :2552
104 38 67 90 :3320
38 71 79 90 :2312
104 38 71 90 :3128
104 38 79 90 :2120
41 56 67 90 :2384
41 56 71 90 :2384
104 41 57 90 :2136
41 67 71 90 :3128
41 67 79 90 :2280
104 41 67 90 :3016
104 41 71 90 :2824
104 56 57 90 :2112
56 67 71 90 :2584
57 67 71 90 :2218
104 57 67 90 :2272
104 57 71 90 :2272
67 71 79 90 :2570
104 67 71 90 :3328
104 67 79 90 :2320
104 71 79 90 :2128
11 36 94 97 :3056
11 38 94 97 :3016
12 36 94 97 :2192
120 2 94 97 :2776
120 24 94 97 :2648
120 36 94 97 :3880
120 38 94 97 :3664
120 42 94 97 :2224
120 56 94 97 :2832
120 67 94 97 :2228
120 71 94 97 :2204
1 23 94 97 :2528
1 31 94 97 :2968
1 36 94 97 :3768
1 38 94 97 :2576
1 41 94 97 :3456
1 56 94 97 :2848
1 67 94 97 :3220
1 71 94 97 :2980
1 79 94 97 :2616
1 104 94 97 :2624
2 24 94 97 :3248
2 29 94 97 :2160
2 36 94 97 :3800
2 38 94 97 :3696
2 42 94 97 :2216
2 66 94 97 :2192
2 70 94 97 :2160
36 5 94 97 :3552
38 5 94 97 :2872
41 5 94 97 :2520
5 56 94 97 :2144
5 67 94 97 :2268
5 71 94 97 :2148
36 6 94 97 :3106
38 6 94 97 :2520
41 6 94 97 :2264
56 6 94 97 :2144
128 36 94 97 :3104
128 38 94 97 :2912
128 41 94 97 :2160
128 56 94 97 :2400
128 57 94 97 :2448
128 67 94 97 :2352
128 71 94 97 :2304
36 9 94 97 :2316
23 36 94 97 :3080
23 38 94 97 :2976
23 41 94 97 :2720
23 56 94 97 :2112
23 57 94 97 :2120
23 67 94 97 :2936
23 71 94 97 :2744
104 23 94 97 :3080
24 36 94 97 :4488
24 38 94 97 :3296
24 41 94 97 :2320
24 42 94 97 :2168
24 56 94 97 :2752
24 66 94 97 :2192
24 70 94 97 :2160
24 79 94 97 :2328
100 24 94 97 :2856
29 36 94 97 :2160
29 38 94 97 :2160
31 36 94 97 :3008
31 41 94 97 :2752
31 56 94 97 :2752
31 67 94 97 :2428
31 71 94 97 :2380
36 38 94 97 :6272
36 41 94 97 :5040
36 42 94 97 :2528
36 55 94 97 :2704
36 56 94 97 :4864
36 57 94 97 :3680
36 66 94 97 :2192
36 67 94 97 :4684
36 70 94 97 :2160
36 71 94 97 :4444
36 79 94 97 :4256
100 36 94 97 :2856
104 36 94 97 :3368
38 41 94 97 :4016
38 42 94 97 :2256
38 55 94 97 :2528
38 56 94 97 :3744
38 57 94 97 :3408
38 66 94 97 :2192
38 67 94 97 :3936
38 70 94 97 :2160
38 71 94 97 :3696
38 79 94 97 :2960
104 38 94 97 :3168
41 56 94 97 :3040
41 57 94 97 :3312
41 67 94 97 :3088
41 71 94 97 :2896
41 79 94 97 :2592
104 41 94 97 :2720
56 57 94 97 :2112
56 67 94 97 :3344
56 71 94 97 :3344
56 79 94 97 :2848
100 56 94 97 :2752
104 56 94 97 :2112
57 67 94 97 :2204
57 71 94 97 :2204
104 57 94 97 :2312
67 71 94 97 :3666
67 79 94 97 :3100
104 67 94 97 :3224
71 79 94 97 :2860
104 71 94 97 :3032
104 79 94 97 :2216
11 36 38 94 :3196
11 36 41 94 :2140
11 38 41 94 :2164
120 2 24 94 :2504
120 2 36 94 :2848
120 2 38 94 :2800
120 24 36 94 :2648
120 24 38 94 :2528
120 36 38 94 :3752
120 36 42 94 :2224
120 36 56 94 :2832
120 36 67 94 :2316
120 36 71 94 :2292
120 38 56 94 :2736
120 38 67 94 :2136
120 38 71 94 :2112
1 23 36 94 :2752
1 23 38 94 :2656
1 23 41 94 :2656
1 23 67 94 :2752
1 23 71 94 :2560
1 104 23 94 :2560
1 31 36 94 :3496
1 31 38 94 :2112
1 31 41 94 :3280
1 31 56 94 :2752
1 31 67 94 :2788
1 31 71 94 :2740
1 31 79 94 :2232
1 104 31 94 :2160
1 36 38 94 :2816
1 36 41 94 :3984
1 36 56 94 :2848
1 36 67 94 :3588
1 36 71 94 :3348
1 36 79 94 :3032
1 104 36 94 :2960
1 38 41 94 :2672
1 38 67 94 :2800
1 38 71 94 :2560
1 104 38 94 :2576
1 41 56 94 :2752
1 41 67 94 :3312
1 41 71 94 :3120
1 41 79 94 :2720
1 104 41 94 :2768
1 56 67 94 :2336
1 56 71 94 :2336
1 67 71 94 :3002
1 67 79 94 :2340
1 104 67 94 :2800
1 104 71 94 :2608
122 36 41 94 :2276
2 24 36 94 :3272
2 24 38 94 :3200
2 24 66 94 :2240
2 24 70 94 :2160
2 29 36 94 :2160
2 29 38 94 :2160
2 36 38 94 :3792
2 36 42 94 :2216
2 36 66 94 :2216
2 36 70 94 :2160
2 38 42 94 :2112
2 38 66 94 :2240
2 38 70 94 :2160
24 36 5 94 :2124
36 38 5 94 :2964
36 41 5 94 :2708
36 5 56 94 :2144
36 5 67 94 :2396
36 5 71 94 :2276
36 5 79 94 :2184
38 41 5 94 :2108
36 38 6 94 :2648
36 41 6 94 :2392
36 56 6 94 :2144
128 36 38 94 :2944
128 36 41 94 :2192
128 36 56 94 :2400
128 36 57 94 :2456
128 36 67 94 :2352
128 36 71 94 :2304
128 38 41 94 :2216
128 38 56 94 :2304
128 38 57 94 :2264
128 38 67 94 :2160
128 38 71 94 :2112
128 41 57 94 :2168
128 56 67 94 :2112
128 56 71 94 :2112
128 67 71 94 :2160
36 41 9 94 :2168
23 36 38 94 :3272
23 36 41 94 :3016
23 36 56 94 :2112
23 36 57 94 :2224
23 36 67 94 :3232
23 36 71 94 :3040
23 36 79 94 :2128
104 23 36 94 :3184
23 38 41 94 :3016
23 38 57 94 :2120
23 38 67 94 :3128
23 38 71 94 :2936
104 23 38 94 :3080
23 41 57 94 :2120
23 41 67 94 :2872
23 41 71 94 :2680
104 23 41 94 :2824
23 56 57 94 :2112
104 23 56 94 :2112
104 23 57 94 :2224
23 67 71 94 :2968
104 23 67 94 :3040
104 23 71 94 :2848
24 36 38 94 :3336
24 36 41 94 :2648
24 36 42 94 :2168
24 36 56 94 :2752
24 36 66 94 :2360
24 36 70 94 :2304
24 36 79 94 :2616
100 24 36 94 :2856
24 38 66 94 :2240
24 38 70 94 :2160
100 24 56 94 :2752
29 36 38 94 :2160
31 36 38 94 :2216
31 36 41 94 :3352
31 36 56 94 :2752
31 36 67 94 :2868
31 36 71 94 :2820
31 36 79 94 :2344
104 31 36 94 :2240
31 38 67 94 :2168
31 38 71 94 :2120
31 41 56 94 :2752
31 41 67 94 :2680
31 41 71 94 :2680
104 31 41 94 :2136
31 56 67 94 :2240
31 56 71 94 :2240
31 67 71 94 :2474
36 38 41 94 :4352
36 38 42 94 :2256
36 38 55 94 :2864
36 38 56 94 :3744
36 38 57 94 :3528
36 38 66 94 :2216
36 38 67 94 :4232
36 38 70 94 :2160
36 38 71 94 :3992
36 38 79 94 :3160
104 36 38 94 :3288
36 41 55 94 :2624
36 41 56 94 :3040
36 41 57 94 :3432
36 41 67 94 :3528
36 41 71 94 :3336
36 41 79 94 :3080
104 36 41 94 :3128
36 56 57 94 :2112
36 56 67 94 :3344
36 56 71 94 :3344
36 56 79 94 :2848
100 36 56 94 :2752
104 36 56 94 :2112
36 57 67 94 :2308
36 57 71 94 :2308
104 36 57 94 :2432
36 67 71 94 :4034
36 67 79 94 :3444
104 36 67 94 :3472
36 71 79 94 :3204
104 36 71 94 :3280
104 36 79 94 :2608
38 41 55 94 :2360
38 41 57 94 :3432
38 41 67 94 :2872
38 41 71 94 :2680
104 38 41 94 :2840
38 56 67 94 :2736
38 56 71 94 :2736
104 38 57 94 :2232
38 67 71 94 :3488
38 67 79 94 :2552
104 38 67 94 :3128
38 71 79 94 :2312
104 38 71 94 :2936
104 38 79 94 :2120
41 56 67 94 :2384
41 56 71 94 :2384
104 41 57 94 :2136
41 67 71 94 :2936
41 67 79 94 :2280
104 41 67 94 :2824
104 41 71 94 :2632
104 56 57 94 :2112
56 67 71 94 :2584
57 67 71 94 :2218
104 57 67 94 :2272
104 57 71 94 :2272
67 71 79 94 :2570
104 67 71 94 :3136
104 67 79 94 :2320
104 71 79 94 :2128
11 36 38 97 :3016
120 2 24 97 :2504
120 2 36 97 :2776
120 2 38 97 :2728
120 24 36 97 :2648
120 24 38 97 :2624
120 36 38 97 :3664
120 36 42 97 :2224
120 36 56 97 :2832
120 36 67 97 :2228
120 36 71 97 :2204
120 38 56 97 :2736
120 38 67 97 :2144
120 38 71 97 :2120
1 23 36 97 :2528
1 23 38 97 :2432
1 23 41 97 :2432
1 23 67 97 :2528
1 23 71 97 :2336
1 104 23 97 :2528
1 31 36 97 :2968
1 31 41 97 :2944
1 31 56 97 :2752
1 31 67 97 :2612
1 31 71 97 :2564
1 36 38 97 :2576
1 36 41 97 :3456
1 36 56 97 :2848
1 36 67 97 :3220
1 36 71 97 :2980
1 36 79 97 :2616
1 104 36 97 :2624
1 38 41 97 :2624
1 38 67 97 :2768
1 38 71 97 :2528
1 104 38 97 :2720
1 41 56 97 :2752
1 41 67 97 :3136
1 41 71 97 :2944
1 41 79 97 :2304
1 104 41 97 :2624
1 56 67 97 :2336
1 56 71 97 :2336
1 67 71 97 :2898
1 104 67 97 :2816
1 104 71 97 :2624
2 24 36 97 :3256
2 24 38 97 :3152
2 24 66 97 :2192
2 24 70 97 :2160
2 29 36 97 :2160
2 29 38 97 :2160
2 36 38 97 :3696
2 36 42 97 :2224
2 36 66 97 :2192
2 36 70 97 :2160
2 38 42 97 :2112
2 38 66 97 :2192
2 38 70 97 :2160
36 38 5 97 :2872
36 41 5 97 :2520
36 5 56 97 :2144
36 5 67 97 :2268
36 5 71 97 :2148
36 38 6 97 :2520
36 41 6 97 :2264
36 56 6 97 :2144
128 36 38 97 :2912
128 36 41 97 :2160
128 36 56 97 :2400
128 36 57 97 :2448
128 36 67 97 :2352
128 36 71 97 :2304
128 38 41 97 :2160
128 38 56 97 :2304
128 38 57 97 :2256
128 38 67 97 :2160
128 38 71 97 :2112
128 41 57 97 :2160
128 56 67 97 :2112
128 56 71 97 :2112
128 67 71 97 :2160
23 36 38 97 :2976
23 36 41 97 :2720
23 36 56 97 :2112
23 36 57 97 :2120
23 36 67 97 :2936
23 36 71 97 :2744
104 23 36 97 :3080
23 38 41 97 :2720
23 38 67 97 :2832
23 38 71 97 :2640
104 23 38 97 :2976
23 41 67 97 :2576
23 41 71 97 :2384
104 23 41 97 :2720
23 56 57 97 :2112
104 23 56 97 :2112
104 23 57 97 :2120
23 67 71 97 :2672
104 23 67 97 :2936
104 23 71 97 :2744
24 36 38 97 :3296
24 36 41 97 :2320
24 36 42 97 :2176
24 36 56 97 :2752
24 36 66 97 :2192
24 36 70 97 :2160
24 36 79 97 :2328
100 24 36 97 :2864
24 38 66 97 :2192
24 38 70 97 :2160
100 24 56 97 :2752
29 36 38 97 :2160
31 36 41 97 :2752
31 36 56 97 :2752
31 36 67 97 :2428
31 36 71 97 :2380
31 41 56 97 :2752
31 41 67 97 :2432
31 41 71 97 :2432
31 56 67 97 :2240
31 56 71 97 :2240
31 67 71 97 :2298
36 38 41 97 :4016
36 38 42 97 :2256
36 38 55 97 :2528
36 38 56 97 :3744
36 38 57 97 :3408
36 38 66 97 :2192
36 38 67 97 :3936
36 38 70 97 :2160
36 38 71 97 :3696
36 38 79 97 :2960
104 36 38 97 :3168
36 41 56 97 :3040
36 41 57 97 :3312
36 41 67 97 :3088
36 41 71 97 :2896
36 41 79 97 :2592
104 36 41 97 :2720
36 56 57 97 :2112
36 56 67 97 :3344
36 56 71 97 :3344
36 56 79 97 :2848
100 36 56 97 :2752
104 36 56 97 :2112
36 57 67 97 :2204
36 57 71 97 :2204
104 36 57 97 :2312
36 67 71 97 :3666
36 67 79 97 :3100
104 36 67 97 :3224
36 71 79 97 :2860
104 36 71 97 :3032
104 36 79 97 :2216
38 41 55 97 :2192
38 41 57 97 :3312
38 41 67 97 :2768
38 41 71 97 :2576
104 38 41 97 :2912
38 56 67 97 :2736
38 56 71 97 :2736
104 38 57 97 :2112
38 67 71 97 :3384
38 67 79 97 :2352
104 38 67 97 :3216
38 71 79 97 :2112
104 38 71 97 :3024
41 56 67 97 :2384
41 56 71 97 :2384
41 67 71 97 :2760
104 41 67 97 :2768
104 41 71 97 :2576
104 56 57 97 :2112
56 67 71 97 :2584
57 67 71 97 :2114
104 57 67 97 :2168
104 57 71 97 :2168
67 71 79 97 :2298
104 67 71 97 :3152
11 36 38 41 :2140
120 2 24 36 :2504
120 2 24 38 :2456
120 2 36 38 :2800
120 24 36 38 :2528
120 36 38 56 :2736
120 36 38 67 :2136
120 36 38 71 :2112
1 23 36 38 :2656
1 23 36 41 :2656
1 23 36 67 :2752
1 23 36 71 :2560
1 104 23 36 :2560
1 23 38 41 :2656
1 23 38 67 :2656
1 23 38 71 :2464
1 104 23 38 :2464
1 23 41 67 :2656
1 23 41 71 :2464
1 104 23 41 :2464
1 23 67 71 :2560
1 104 23 67 :2560
1 104 23 71 :2368
1 31 36 38 :2112
1 31 36 41 :3280
1 31 36 56 :2752
1 31 36 67 :2788
1 31 36 71 :2740
1 31 36 79 :2232
1 104 31 36 :2160
1 31 38 41 :2160
1 31 38 67 :2288
1 31 38 71 :2240
1 31 41 56 :2752
1 31 41 67 :2800
1 31 41 71 :2800
1 104 31 41 :2256
1 31 56 67 :2240
1 31 56 71 :2240
1 31 67 71 :2586
1 104 31 67 :2192
1 104 31 71 :2192
1 36 38 41 :2672
1 36 38 67 :2800
1 36 38 71 :2560
1 104 36 38 :2576
1 36 41 56 :2752
1 36 41 67 :3312
1 36 41 71 :3120
1 36 41 79 :2720
1 104 36 41 :2768
1 36 56 67 :2336
1 36 56 71 :2336
1 36 67 71 :3002
1 36 67 79 :2340
1 104 36 67 :2800
1 104 36 71 :2608
1 38 41 67 :2848
1 38 41 71 :2656
1 104 38 41 :2672
1 38 67 71 :2752
1 104 38 67 :2752
1 104 38 71 :2560
1 41 56 67 :2240
1 41 56 71 :2240
1 41 67 71 :2984
1 104 41 67 :2800
1 104 41 71 :2608
1 104 67 71 :2728
2 24 36 38 :3176
2 24 36 66 :2216
2 24 36 70 :2160
2 24 38 66 :2240
2 24 38 70 :2160
2 29 36 38 :2160
2 36 38 42 :2112
2 36 38 66 :2216
2 36 38 70 :2160
128 36 38 41 :2192
128 36 38 56 :2304
128 36 38 57 :2264
128 36 38 67 :2160
128 36 38 71 :2112
128 36 41 57 :2168
128 36 56 67 :2112
128 36 56 71 :2112
128 36 67 71 :2160
128 38 41 57 :2168
23 36 38 41 :3016
23 36 38 57 :2120
23 36 38 67 :3128
23 36 38 71 :2936
104 23 36 38 :3080
23 36 41 57 :2120
23 36 41 67 :2872
23 36 41 71 :2680
104 23 36 41 :2824
23 36 56 57 :2112
104 23 36 56 :2112
104 23 36 57 :2224
23 36 67 71 :2968
104 23 36 67 :3040
104 23 36 71 :2848
23 38 41 57 :2120
23 38 41 67 :2872
23 38 41 71 :2680
104 23 38 41 :2824
104 23 38 57 :2120
23 38 67 71 :2864
104 23 38 67 :2936
104 23 38 71 :2744
104 23 41 57 :2120
23 41 67 71 :2608
104 23 41 67 :2680
104 23 41 71 :2488
104 23 56 57 :2112
104 23 67 71 :2776
24 36 38 66 :2216
24 36 38 70 :2160
100 24 36 56 :2752
31 36 38 67 :2168
31 36 38 71 :2120
31 36 41 56 :2752
31 36 41 67 :2680
31 36 41 71 :2680
104 31 36 41 :2136
31 36 56 67 :2240
31 36 56 71 :2240
31 36 67 71 :2474
31 38 41 67 :2216
31 38 41 71 :2216
31 38 67 71 :2312
104 31 38 67 :2120
104 31 38 71 :2120
31 41 56 67 :2240
31 41 56 71 :2240
31 41 67 71 :2544
104 31 41 67 :2168
104 31 41 71 :2168
104 31 67 71 :2200
36 38 41 55 :2336
36 38 41 57 :3432
36 38 41 67 :2872
36 38 41 71 :2680
104 36 38 41 :2840
36 38 56 67 :2736
36 38 56 71 :2736
104 36 38 57 :2232
36 38 67 71 :3488
36 38 67 79 :2552
104 36 38 67 :3128
36 38 71 79 :2312
104 36 38 71 :2936
104 36 38 79 :2120
36 41 56 67 :2384
36 41 56 71 :2384
104 36 41 57 :2136
36 41 67 71 :2936
36 41 67 79 :2280
104 36 41 67 :2824
104 36 41 71 :2632
104 36 56 57 :2112
36 56 67 71 :2584
36 57 67 71 :2218
104 36 57 67 :2272
104 36 57 71 :2272
36 67 71 79 :2570
104 36 67 71 :3136
104 36 67 79 :2320
104 36 71 79 :2128
104 38 41 57 :2136
38 41 67 71 :2800
104 38 41 67 :2872
104 38 41 71 :2680
38 56 67 71 :2232
104 38 67 71 :3056
104 41 67 71 :2680
104 57 67 71 :2200
1 88 90 94 97 :2544
24 88 90 94 97 :2224
36 88 90 94 97 :4152
38 88 90 94 97 :2928
41 88 90 94 97 :2592
56 88 90 94 97 :2848
67 88 90 94 97 :3064
71 88 90 94 97 :2824
79 88 90 94 97 :3336
104 88 90 94 97 :2216
1 31 88 90 94 :2160
1 36 88 90 94 :2960
1 41 88 90 94 :2720
1 67 88 90 94 :2304
1 79 88 90 94 :2528
36 5 88 90 94 :2152
23 36 88 90 94 :2128
24 36 88 90 94 :2512
31 36 88 90 94 :2240
36 38 88 90 94 :3128
36 41 88 90 94 :3080
36 56 88 90 94 :2848
36 67 88 90 94 :3408
36 71 88 90 94 :3168
36 79 88 90 94 :3776
104 36 88 90 94 :2608
38 67 88 90 94 :2552
38 71 88 90 94 :2312
38 79 88 90 94 :2264
104 38 88 90 94 :2120
41 67 88 90 94 :2280
41 79 88 90 94 :2648
67 71 88 90 94 :2552
67 79 88 90 94 :2760
104 67 88 90 94 :2320
71 79 88 90 94 :2520
104 71 88 90 94 :2128
104 79 88 90 94 :2224
1 36 88 90 97 :2544
1 41 88 90 97 :2304
1 79 88 90 97 :2160
24 36 88 90 97 :2224
36 38 88 90 97 :2928
36 41 88 90 97 :2592
36 56 88 90 97 :2848
36 67 88 90 97 :3064
36 71 88 90 97 :2824
36 79 88 90 97 :3336
104 36 88 90 97 :2216
38 67 88 90 97 :2352
38 71 88 90 97 :2112
38 79 88 90 97 :2112
41 79 88 90 97 :2208
67 71 88 90 97 :2280
67 79 88 90 97 :2464
71 79 88 90 97 :2224
1 31 36 88 90 :2160
1 36 41 88 90 :2720
1 36 67 88 90 :2304
1 36 79 88 90 :2528
1 41 79 88 90 :2288
36 38 67 88 90 :2552
36 38 71 88 90 :2312
36 38 79 88 90 :2264
104 36 38 88 90 :2120
36 41 67 88 90 :2280
36 41 79 88 90 :2648
36 67 71 88 90 :2552
36 67 79 88 90 :2760
104 36 67 88 90 :2320
36 71 79 88 90 :2520
104 36 71 88 90 :2128
104 36 79 88 90 :2224
1 36 88 94 97 :2544
1 41 88 94 97 :2304
1 79 88 94 97 :2160
24 36 88 94 97 :2224
36 38 88 94 97 :2928
36 41 88 94 97 :2592
36 56 88 94 97 :2848
36 67 88 94 97 :3064
36 71 88 94 97 :2824
36 79 88 94 97 :3336
104 36 88 94 97 :2216
38 67 88 94 97 :2352
38 71 88 94 97 :2112
38 79 88 94 97 :2112
41 79 88 94 97 :2208
67 71 88 94 97 :2280
67 79 88 94 97 :2464
71 79 88 94 97 :2224
1 31 36 88 94 :2160
1 36 41 88 94 :2720
1 36 67 88 94 :2304
1 36 79 88 94 :2528
1 41 79 88 94 :2288
36 38 67 88 94 :2552
36 38 71 88 94 :2312
36 38 79 88 94 :2264
104 36 38 88 94 :2120
36 41 67 88 94 :2280
36 41 79 88 94 :2648
36 67 71 88 94 :2552
36 67 79 88 94 :2760
104 36 67 88 94 :2320
36 71 79 88 94 :2520
104 36 71 88 94 :2128
104 36 79 88 94 :2224
1 36 41 88 97 :2304
1 36 79 88 97 :2160
36 38 67 88 97 :2352
36 38 71 88 97 :2112
36 38 79 88 97 :2112
36 41 79 88 97 :2208
36 67 71 88 97 :2280
36 67 79 88 97 :2464
36 71 79 88 97 :2224
1 36 41 79 88 :2288
114 24 36 90 94 :2160
114 36 63 90 94 :2240
11 36 90 94 97 :3056
11 38 90 94 97 :3016
12 36 90 94 97 :2192
120 2 90 94 97 :2776
120 24 90 94 97 :2648
120 36 90 94 97 :3880
120 38 90 94 97 :3664
120 42 90 94 97 :2224
120 56 90 94 97 :2832
120 67 90 94 97 :2228
120 71 90 94 97 :2204
1 23 90 94 97 :2528
1 31 90 94 97 :2968
1 36 90 94 97 :3768
1 38 90 94 97 :2576
1 41 90 94 97 :3456
1 56 90 94 97 :2848
1 67 90 94 97 :3220
1 71 90 94 97 :2980
1 79 90 94 97 :2616
1 104 90 94 97 :2624
2 24 90 94 97 :3248
2 29 90 94 97 :2160
2 36 90 94 97 :3800
2 38 90 94 97 :3696
2 42 90 94 97 :2216
2 66 90 94 97 :2192
2 70 90 94 97 :2160
36 5 90 94 97 :3552
38 5 90 94 97 :2872
41 5 90 94 97 :2520
5 56 90 94 97 :2144
5 67 90 94 97 :2268
5 71 90 94 97 :2148
36 6 90 94 97 :3106
38 6 90 94 97 :2520
41 6 90 94 97 :2264
56 6 90 94 97 :2144
128 36 90 94 97 :3104
128 38 90 94 97 :2912
128 41 90 94 97 :2160
128 56 90 94 97 :2400
128 57 90 94 97 :2448
128 67 90 94 97 :2352
128 71 90 94 97 :2304
36 9 90 94 97 :2316
23 36 90 94 97 :3080
23 38 90 94 97 :2976
23 41 90 94 97 :2720
23 56 90 94 97 :2112
23 57 90 94 97 :2120
